TAID,Pubchem CID,IUPAC Name,SMILES,Canonical_SMILES,InChIKey,rat_intravenous_LD50
TOX-76498,49653,"2-[[2,4,6-triiodo-3-(methylcarbamoyl)-5-(propanoylamino)benzoyl]amino]acetic acid",CCC(=O)Nc1c(I)c(C(=O)NC)c(I)c(C(=O)NCC(=O)O)c1I,CCC(=O)Nc1c(I)c(C(=O)NC)c(I)c(C(=O)NCC(=O)O)c1I,CISIBGUGYWFWDQ-UHFFFAOYSA-N,1.659595508
TOX-76496,49651,"2-[[3-[(2-hydroxyacetyl)amino]-2,4,6-triiodo-5-(methylcarbamoyl)benzoyl]amino]acetic acid",CNC(=O)c1c(I)c(NC(=O)CO)c(I)c(C(=O)NCC(=O)O)c1I,CNC(=O)c1c(I)c(NC(=O)CO)c(I)c(C(=O)NCC(=O)O)c1I,XMLNABQODRQUSO-UHFFFAOYSA-N,1.660843984
TOX-6147,31346,iodomethanesulfonic acid,O=S(=O)(O)CI,O=S(=O)(O)CI,RDFJFVXMRYVOAC-UHFFFAOYSA-N,1.665117606
TOX-3146,1140,toluene,Cc1ccccc1,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,1.67219685
TOX-2308,2148,2-[(4-aminobenzoyl)amino]acetic acid,Nc1ccc(C(=O)NCC(=O)O)cc1,Nc1ccc(C(=O)NCC(=O)O)cc1,HSMNQINEKMPTIC-UHFFFAOYSA-N,1.678099249
TOX-34271,21427291,"2-[[3-acetamido-2,4,6-triiodo-5-(methylcarbamoyl)benzoyl]amino]-3-hydroxybutanoic acid",CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NC(C(=O)O)C(C)O)c1I,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NC(C(=O)O)C(C)O)c1I,UAZUWTWCXVURJK-UHFFFAOYSA-N,1.678226931
TOX-6322,7533,cyclohexylsulfamic acid,O=S(=O)(O)NC1CCCCC1,O=S(=O)(O)NC1CCCCC1,HCAJEUSONLESMK-UHFFFAOYSA-N,1.68037334
TOX-3448,596,"4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,1.687027494
TOX-5215,7419,3-aminobenzoic acid,Nc1cccc(C(=O)O)c1,Nc1cccc(C(=O)O)c1,XFDUHJPVQKIXHO-UHFFFAOYSA-N,1.696248729
TOX-3535,2638,3-(carbamoyloxymethyl)-7-methoxy-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,WZOZEZRFJCJXNZ-UHFFFAOYSA-N,1.697408194
TOX-2339,2140,"3,5-diacetamido-2,4,6-triiodobenzoic acid",CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,YVPYQUNUQOZFHG-UHFFFAOYSA-N,1.714703263
TOX-72310,3737,"3-acetamido-2,4,6-triiodo-5-(methylcarbamoyl)benzoic acid",CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,UXIGWFXRQKWHHA-UHFFFAOYSA-N,1.723650256
TOX-1292,219402,"2-(3,4-dihydroxy-5-oxooxolan-2-yl)-2-hydroxyacetaldehyde",O=CC(O)C1OC(=O)C(O)C1O,O=CC(O)C1OC(=O)C(O)C1O,UYUXSRADSPPKRZ-UHFFFAOYSA-N,1.740668562
TOX-12809,71651,3-benzamidopropanoic acid,O=C(O)CCNC(=O)c1ccccc1,O=C(O)CCNC(=O)c1ccccc1,CWXYHOHYCJXYFQ-UHFFFAOYSA-N,1.742440194
TOX-3872,2560,"6-[(2-carboxy-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,FPPNZSSZRUTDAP-UHFFFAOYSA-N,1.745449101
TOX-4447,2174,"6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,AVKUERGKIZMTKX-UHFFFAOYSA-N,1.750946127
TOX-42716,10440766,"2,4,6-triiodo-N-methyl-3,5-bis(2,3,4,5,6-pentahydroxyhexanoylamino)benzamide",CNC(=O)c1c(I)c(NC(=O)C(O)C(O)C(O)C(O)CO)c(I)c(NC(=O)C(O)C(O)C(O)C(O)CO)c1I,CNC(=O)c1c(I)c(NC(=O)C(O)C(O)C(O)C(O)CO)c(I)c(NC(=O)C(O)C(O)C(O)C(O)CO)c1I,ASFIRRNYUOVVLY-UHFFFAOYSA-N,1.760714312
TOX-14942,12767986,3-(hydroxymethyl)-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(CO)CSC12,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(CO)CSC12,HTBAVMIGXROYPQ-UHFFFAOYSA-N,1.763037265
TOX-38410,3044554,"2-[methyl-[2,4,6-triiodo-3-[(2-methoxyacetyl)amino]-5-(methylcarbamoyl)benzoyl]amino]acetic acid",CNC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)N(C)CC(=O)O)c1I,CNC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)N(C)CC(=O)O)c1I,PIQXLUBOOPIBFP-UHFFFAOYSA-N,1.775136944
TOX-74715,3032900,"3-acetamido-2,4,6-triiodo-5-[2-(methylamino)-2-oxoethyl]benzoic acid",CNC(=O)Cc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,CNC(=O)Cc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,PLROFPAIYINOGV-UHFFFAOYSA-N,1.776730233
TOX-3060,4836,"3-methyl-4,4,7-trioxo-3-(triazol-1-ylmethyl)-4lambda6-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,LPQZKKCYTLCDGQ-UHFFFAOYSA-N,1.778579543
TOX-28857,4172,"3-acetamido-5-[acetyl(methyl)amino]-2,4,6-triiodo-N-(3,4,5,6-tetrahydroxy-1-oxohexan-2-yl)benzamide",CC(=O)Nc1c(I)c(C(=O)NC(C=O)C(O)C(O)C(O)CO)c(I)c(N(C)C(C)=O)c1I,CC(=O)Nc1c(I)c(C(=O)NC(C=O)C(O)C(O)C(O)CO)c(I)c(N(C)C(C)=O)c1I,DTZMSDADRKLCQE-UHFFFAOYSA-N,1.779860197
TOX-67956,114751,,O=C1CCC(C(=O)N2CSCC2C(=O)O)N1,O=C1CCC(C(=O)N2CSCC2C(=O)O)N1,UUTKICFRNVKFRG-UHFFFAOYSA-N,1.785813697
TOX-33189,38528,"3-acetamido-5-(2-amino-2-oxoethyl)-2,4,6-triiodobenzoic acid",CC(=O)Nc1c(I)c(CC(N)=O)c(I)c(C(=O)O)c1I,CC(=O)Nc1c(I)c(CC(N)=O)c(I)c(C(=O)O)c1I,NDQMXNVDCKNYTF-UHFFFAOYSA-N,1.788108245
TOX-78815,906,,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,SQVRNKJHWKZAKO-UHFFFAOYSA-N,1.791369194
TOX-13307,199201,N-[5-(2-hydroxyethoxy)pyrimidin-2-yl]benzenesulfonamide,O=S(=O)(Nc1ncc(OCCO)cn1)c1ccccc1,O=S(=O)(Nc1ncc(OCCO)cn1)c1ccccc1,RVHKPYUHEMOMIZ-UHFFFAOYSA-N,1.798195002
TOX-13308,199202,2-[2-(benzenesulfonamido)pyrimidin-5-yl]oxyacetic acid,O=C(O)COc1cnc(NS(=O)(=O)c2ccccc2)nc1,O=C(O)COc1cnc(NS(=O)(=O)c2ccccc2)nc1,BTILBKWIQVVJGT-UHFFFAOYSA-N,1.800188052
TOX-56014,78300908,"5-[(2-hydroxycyclopropyl)-[N-(2-hydroxycyclopropyl)-2,4,6-triiodo-3,5-bis(1,3,4-trihydroxybutan-2-ylcarbamoyl)anilino]oxyamino]-2,4,6-triiodo-1-N,3-N-bis(1,3,4-trihydroxybutan-2-yl)benzene-1,3-dicarboxamide",O=C(NC(CO)C(O)CO)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(N(ON(c2c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c2I)C2CC2O)C2CC2O)c1I,O=C(NC(CO)C(O)CO)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(N(ON(c2c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c2I)C2CC2O)C2CC2O)c1I,CGIULJHSBNHLGG-UHFFFAOYSA-N,1.804156477
TOX-2523,2675,"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-(carboxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,OKBVVJOGVLARMR-UHFFFAOYSA-N,1.812059892
TOX-3875,2632,"3-(acetyloxymethyl)-7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,GPRBEKHLDVQUJE-UHFFFAOYSA-N,1.813365551
TOX-34269,39523,"3-[[3-acetamido-2,4,6-triiodo-5-(methylcarbamoyl)benzoyl]amino]propanoic acid",CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NCCC(=O)O)c1I,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NCCC(=O)O)c1I,PGMIGSJOVKTOBC-UHFFFAOYSA-N,1.814497468
TOX-53387,2619,"7-[[2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-3-hydroxybutanoyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",CCN1CCN(C(=O)NC(C(=O)NC2(OC)C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC32)C(C)O)C(=O)C1=O,CCN1CCN(C(=O)NC(C(=O)NC2(OC)C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC32)C(C)O)C(=O)C1=O,SMSRCGPDNDCXFR-UHFFFAOYSA-N,1.817722465
TOX-33703,162036,"2-[3-chloro-4-(2,3-dihydroxypropoxy)phenyl]acetic acid",O=C(O)Cc1ccc(OCC(O)CO)c(Cl)c1,O=C(O)Cc1ccc(OCC(O)CO)c(Cl)c1,FWBDSMMEVOJFAT-UHFFFAOYSA-N,1.8217035
TOX-11322,92169,"1-hydroxy-2,2,5,5-tetramethylpyrrolidine-3-carboxylic acid",CC1(C)CC(C(=O)O)C(C)(C)N1O,CC1(C)CC(C(=O)O)C(C)(C)N1O,CLKPVQZFNYXFCY-UHFFFAOYSA-N,1.823380997
TOX-6564,1048,1H-pyrazole,c1cn[nH]c1,c1cn[nH]c1,WTKZEGDFNFYCGP-UHFFFAOYSA-N,1.823987426
TOX-4015,2659,3-(carbamoyloxymethyl)-7-[[2-(furan-2-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,JFPVXVDWJQMJEE-UHFFFAOYSA-N,1.82501951
TOX-7789,12055,[4-[(2-amino-2-oxoethyl)amino]phenyl]arsonic acid,NC(=O)CNc1ccc([As](=O)(O)O)cc1,NC(=O)CNc1ccc([As](=O)(O)O)cc1,UULSDCUWMKTMND-UHFFFAOYSA-N,1.83586172
TOX-27336,5317,"3,3-dimethyl-7-oxo-6-[(2-phenyl-2-sulfoacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O,JETQIUPBHQNHNZ-UHFFFAOYSA-N,1.83933242
TOX-31591,13313077,"2-[2,3-dihydroxy-6-(hydroxymethyl)-4-[[4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino]cyclohexyl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1=CC(NC2CC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,OCC1=CC(NC2CC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,JARYYMUOCXVXNK-UHFFFAOYSA-N,1.839455351
TOX-63519,14550296,2-(2-hydroxyethyl)-5-(2-hydroxypropan-2-yl)cyclohex-2-en-1-ol,CC(C)(O)C1CC=C(CCO)C(O)C1,CC(C)(O)C1CC=C(CCO)C(O)C1,VSDYCFMYAPMHAC-UHFFFAOYSA-N,1.851076236
TOX-2542,104867,"7-(2-amino-2-carboxyethyl)sulfanyl-2-[(2,2-dimethylcyclopropanecarbonyl)amino]hept-2-enoic acid",CC1(C)CC1C(=O)NC(=CCCCCSCC(N)C(=O)O)C(=O)O,CC1(C)CC1C(=O)NC(=CCCCCSCC(N)C(=O)O)C(=O)O,DHSUYTOATWAVLW-UHFFFAOYSA-N,1.853131815
TOX-7479,3000579,(4-aminophenyl)sulfonylthiourea,NC(=S)NS(=O)(=O)c1ccc(N)cc1,NC(=S)NS(=O)(=O)c1ccc(N)cc1,UEMLYRZWLVXWRU-UHFFFAOYSA-N,1.853634378
TOX-2231,243,benzoic acid,O=C(O)c1ccccc1,O=C(O)c1ccccc1,WPYMKLBDIGXBTP-UHFFFAOYSA-N,1.855161244
TOX-73422,5471,"6-[(2-carboxy-2-thiophen-3-ylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,OHKOGUYZJXTSFX-UHFFFAOYSA-N,1.856469138
TOX-3501,2612,3-(acetyloxymethyl)-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,XIURVHNZVLADCM-UHFFFAOYSA-N,1.866402021
TOX-18373,26106,"3-(2-nitroimidazol-1-yl)propane-1,2-diol",O=[N+]([O-])c1nccn1CC(O)CO,O=[N+]([O-])c1nccn1CC(O)CO,NUGLIYXAARVRPQ-UHFFFAOYSA-N,1.868737733
TOX-3460,4727,2-amino-3-methyl-3-sulfanylbutanoic acid,CC(C)(S)C(N)C(=O)O,CC(C)(S)C(N)C(=O)O,VVNCNSJFMMFHPL-UHFFFAOYSA-N,1.872782488
TOX-6253,8614,2-[(2-iodobenzoyl)amino]acetic acid,O=C(O)CNC(=O)c1ccccc1I,O=C(O)CNC(=O)c1ccccc1I,CORFWQGVBFFZHF-UHFFFAOYSA-N,1.882340934
TOX-2784,773,2-amino-3-(1H-imidazol-5-yl)propanoic acid,NC(Cc1cnc[nH]1)C(=O)O,NC(Cc1cnc[nH]1)C(=O)O,HNDVDQJCIGZPNO-UHFFFAOYSA-N,1.889741378
TOX-2789,3937,1-[6-amino-2-[(1-carboxy-3-phenylpropyl)amino]hexanoyl]pyrrolidine-2-carboxylic acid,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,RLAWWYSOJDYHDC-UHFFFAOYSA-N,1.89198216
TOX-54107,3060311,1-(2-hydroxyethyl)cyclopentane-1-carboxylic acid,O=C(O)C1(CCO)CCCC1,O=C(O)C1(CCO)CCCC1,PQKQWMVDKRDMBL-UHFFFAOYSA-N,1.898168248
